,Name,Platform,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Game_Age
2596,Armored Core 2,PS2,Simulation,Ubisoft,0.79,78.0,23.0,8.4,19.0,From Software,T,16.0
2598,The Godfather II,X360,Action,Electronic Arts,0.79,65.0,72.0,6.9,60.0,EA Redwood Shores,M,7.0
2599,Dragon's Dogma,X360,Role-Playing,Capcom,0.79,75.0,59.0,7.8,320.0,Capcom,M,4.0
2600,Pro Evolution Soccer 2016,PS4,Sports,Konami Digital Entertainment,0.79,87.0,54.0,7.1,680.0,Konami,E,1.0
2603,Rare Replay,XOne,Misc,Microsoft Game Studios,0.79,84.0,75.0,7.7,325.0,Rare Ltd.,M,1.0
2604,Band Hero,X360,Misc,Activision,0.79,76.0,52.0,5,30.0,Neversoft Entertainment,E10+,7.0
2605,NCAA Football 08,PS2,Sports,Electronic Arts,0.79,83.0,6.0,8.3,23.0,EA Tiburon,E,9.0
2606,FIFA Soccer 2004,XB,Sports,Electronic Arts,0.79,82.0,20.0,8.2,23.0,EA Canada,E,13.0
2607,The Sims 2: Castaway,PSP,Simulation,Electronic Arts,0.79,64.0,5.0,7.3,18.0,Maxis,E10+,9.0
2608,Star Ocean: The Last Hope,X360,Role-Playing,Square Enix,0.79,72.0,56.0,7.2,150.0,"Square Enix, Tri-Ace",T,7.0
2609,Sniper: Ghost Warrior,PS3,Shooter,City Interactive,0.79,53.0,17.0,6,34.0,City Interactive,M,5.0
2610,Invizimals,PSP,Strategy,Sony Computer Entertainment,0.79,69.0,32.0,7.3,19.0,Novarama,E10+,7.0
2613,WWE 2K15,PS3,Sports,Take-Two Interactive,0.78,55.0,5.0,3.1,57.0,Yuke's,T,2.0
2614,Too Human,X360,Role-Playing,Microsoft Game Studios,0.78,65.0,80.0,7,458.0,Silicon Knights,T,8.0
2616,Tiger Woods PGA Tour 10,PS3,Sports,Electronic Arts,0.78,81.0,38.0,7.7,9.0,EA Tiburon,E,7.0
2619,Tom Clancy's Splinter Cell: Double Agent,X360,Action,Ubisoft,0.78,85.0,59.0,8.1,148.0,Ubisoft Shanghai,M,10.0
2621,Naruto Shippuden: Ultimate Ninja Storm 2,X360,Fighting,Namco Bandai Games,0.78,74.0,31.0,8.5,39.0,CyberConnect2,T,6.0
2622,Golden Sun: Dark Dawn,DS,Role-Playing,Nintendo,0.78,79.0,63.0,8.1,86.0,Camelot Software Planning,E10+,6.0
2623,Fight Night Champion,X360,Fighting,Electronic Arts,0.78,86.0,59.0,7.4,105.0,EA Canada,M,5.0
2625,Dead Island: Riptide,X360,Action,Deep Silver,0.78,57.0,43.0,6.3,192.0,Techland,M,3.0
2628,Star Wars The Clone Wars: Jedi Alliance,DS,Action,LucasArts,0.78,68.0,10.0,7.8,32.0,LucasArts,E10+,8.0
2629,The World Ends With You,DS,Role-Playing,Square Enix,0.78,88.0,59.0,8.9,283.0,Jupiter Corporation,T,9.0
2630,Drawn to Life,DS,Action,THQ,0.78,73.0,34.0,8.2,30.0,5TH Cell,E,9.0
2631,Sid Meier's Civilization Revolution,PS3,Strategy,Take-Two Interactive,0.78,85.0,39.0,7.7,87.0,Firaxis Games,E10+,8.0
2632,NBA 2K7,PS2,Sports,Take-Two Interactive,0.78,81.0,12.0,8.4,18.0,"Kush Games, Visual Concepts",E,10.0
2635,James Bond 007: Nightfire,GC,Shooter,Electronic Arts,0.78,80.0,17.0,8.6,46.0,Eurocom Entertainment Software,T,14.0
2637,Goldeneye 007: Reloaded,PS3,Shooter,Activision,0.78,72.0,38.0,6.3,52.0,Eurocom Entertainment Software,T,5.0
2639,Rayman Origins,X360,Platform,Ubisoft,0.78,87.0,55.0,8.2,209.0,UBlart Montpellier,E10+,5.0
2641,Aliens: Colonial Marines,X360,Shooter,Sega,0.77,48.0,47.0,3.8,449.0,Gearbox Software,M,3.0
2642,Lips,X360,Misc,Microsoft Game Studios,0.77,71.0,43.0,7.4,34.0,iNiS,T,8.0
2646,MadWorld,Wii,Action,Sega,0.77,81.0,74.0,8.6,176.0,PlatinumGames,M,7.0
2647,Need for Speed: ProStreet,PSP,Racing,Electronic Arts,0.77,57.0,14.0,7.1,19.0,EA Games,E,8.0
2648,Perfect Dark Zero,X360,Shooter,Microsoft Game Studios,0.77,81.0,75.0,7.3,229.0,Rare Ltd.,M,11.0
2649,Marvel Nemesis: Rise of the Imperfects,PS2,Fighting,Electronic Arts,0.77,53.0,30.0,6.3,46.0,"EA Canada, Nihilistic",T,11.0
2651,Need for Speed: Porsche Unleashed,PS,Racing,Electronic Arts,0.77,78.0,13.0,8.5,24.0,Eden Studios,E,17.0
2654,Resident Evil: Operation Raccoon City,X360,Action,Capcom,0.77,52.0,56.0,4.9,330.0,Slant Six,M,4.0
2655,UFC Personal Trainer: The Ultimate Fitness System,X360,Sports,THQ,0.77,70.0,36.0,6.5,15.0,THQ,E,5.0
2657,Worms: Open Warfare,PSP,Strategy,THQ,0.77,70.0,22.0,6.6,18.0,Team 17,E10+,10.0
2661,Star Wars Episode II: Attack of the Clones,GBA,Action,THQ,0.77,38.0,14.0,5,6.0,David A. Palmer Productions,E,14.0
2662,Ghost Squad,Wii,Shooter,Sega,0.77,69.0,42.0,7.5,31.0,"Artificial Mind and Movement, Polygon Magic",T,9.0
2664,Maximo: Ghosts to Glory,PS2,Platform,Capcom,0.77,84.0,33.0,8.7,16.0,Capcom,T,15.0
2665,Donkey Kong Country 3,GBA,Platform,Nintendo,0.77,77.0,16.0,8.4,27.0,Rare Ltd.,E,11.0
2666,All-Star Baseball 2003,PS2,Sports,Acclaim Entertainment,0.77,81.0,15.0,8.4,17.0,Acclaim Studios Austin,E,14.0
2667,Unlimited Saga,PS2,Role-Playing,Atari,0.77,45.0,26.0,3,29.0,SquareSoft,T,14.0
2668,Pokemon Dash,DS,Racing,Nintendo,0.77,46.0,28.0,5.9,34.0,Ambrella,E,12.0
2669,Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai Games,0.77,57.0,26.0,7.2,58.0,Spike,T,7.0
2670,Twisted Metal: Head On,PSP,Action,Sony Computer Entertainment,0.77,79.0,45.0,8.2,38.0,Incognito Inc.,T,11.0
2672,Sonic Unleashed,PS2,Platform,Sega,0.76,66.0,5.0,6.7,49.0,Sonic Team,E10+,8.0
2679,Driv3r,XB,Racing,Atari,0.76,56.0,57.0,4.7,69.0,Reflections Interactive,M,12.0
2684,ISS Pro Evolution,PS,Sports,Konami Digital Entertainment,0.76,94.0,4.0,8.7,40.0,KCET,E,18.0
2685,Need For Speed: Undercover,PSP,Racing,Electronic Arts,0.76,52.0,7.0,6.8,37.0,Piranha Games,T,8.0
2686,Metroid Prime Hunters,DS,Shooter,Nintendo,0.76,85.0,54.0,8,188.0,Nintendo,T,10.0
2687,Bayonetta 2,WiiU,Action,Nintendo,0.76,91.0,80.0,8.2,1217.0,PlatinumGames,M,2.0
2688,Star Wars Battlefront: Elite Squadron,PSP,Shooter,LucasArts,0.76,63.0,25.0,8,41.0,Savage Entertainment,T,7.0
2695,Syphon Filter: The Omega Strain,PS2,Shooter,Sony Computer Entertainment,0.76,65.0,47.0,6.9,30.0,Sony Bend,M,12.0
2697,The Sims 3,3DS,Simulation,Electronic Arts,0.76,52.0,29.0,3.3,31.0,EA Games,T,5.0
2698,Mortal Kombat: Deception,XB,Fighting,Midway Games,0.76,81.0,53.0,8.8,24.0,Midway,M,12.0
2699,That's So Raven,GBA,Adventure,Disney Interactive Studios,0.76,39.0,6.0,7.6,5.0,Vicarious Visions,E,12.0
2700,DJ Hero,Wii,Misc,Activision,0.76,87.0,22.0,7.6,19.0,Exient Entertainment,T,7.0
2703,Portal 2,PC,Shooter,Valve Software,0.76,95.0,52.0,8.8,5999.0,Valve Software,E10+,5.0
2704,Duke Nukem Forever,PS3,Shooter,Take-Two Interactive,0.76,51.0,48.0,4.9,278.0,"Gearbox Software, 3D Realms",M,5.0
2705,Star Wars: The Force Unleashed II,Wii,Action,LucasArts,0.76,71.0,10.0,7.8,31.0,"LucasArts, Red Fly Studio",T,6.0
2712,Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts,0.75,60.0,35.0,6,8.0,EA Bright Light,E10+,7.0
2713,Wall-E,PS2,Platform,THQ,0.75,67.0,8.0,8.4,9.0,Asobo Studio,E,8.0
2714,Professor Layton and the Azran Legacy,3DS,Puzzle,Nintendo,0.75,81.0,58.0,7.9,86.0,Level 5,E10+,3.0
2716,Mega Man X5,PS,Platform,Capcom,0.75,76.0,10.0,8.9,55.0,Capcom,E,16.0
2718,Titanfall 2,PS4,Shooter,Electronic Arts,0.75,89.0,56.0,8.4,704.0,Respawn Entertainment,M,0.0
2719,Genji: Days of the Blade,PS3,Action,Sony Computer Entertainment,0.75,55.0,46.0,5.8,30.0,Game Republic,T,10.0
2720,Metal Gear Solid V: The Phantom Pain,XOne,Action,Konami Digital Entertainment,0.75,95.0,10.0,7.3,900.0,"Kojima Productions, Moby Dick Studio",M,1.0
2721,Rockstar Games presents Table Tennis,X360,Sports,Take-Two Interactive,0.75,81.0,75.0,7.8,69.0,Rockstar San Diego,E,10.0
2722,Drawn to Life: The Next Chapter,Wii,Puzzle,THQ,0.75,58.0,22.0,6,8.0,Planet Moon Studios,E,7.0
2723,PokePark 2: Wonders Beyond,Wii,Action,Nintendo,0.75,60.0,18.0,7,27.0,Creatures Inc.,E,5.0
2724,DJ Hero 2,PS3,Misc,Activision,0.75,86.0,46.0,7.8,22.0,FreeStyleGames,T,6.0
2725,WWE SmackDown vs. Raw 2009,PSP,Fighting,THQ,0.75,72.0,9.0,6,9.0,Yuke's,T,8.0
2726,LEGO Batman 2: DC Super Heroes,3DS,Action,Warner Bros. Interactive Entertainment,0.75,72.0,6.0,5.2,25.0,TT Games,E10+,4.0
2727,SoulCalibur V,PS3,Fighting,Namco Bandai Games,0.75,81.0,53.0,6.7,150.0,Project Soul,T,4.0
2728,Shark Tale,PS2,Action,Activision,0.75,69.0,30.0,6.5,6.0,Edge of Reality,E,12.0
2730,Zone of the Enders,PS2,Shooter,Konami Digital Entertainment,0.75,78.0,21.0,7.4,49.0,KCEJ,M,15.0
2734,Pro Evolution Soccer 2015,PS4,Sports,Konami Digital Entertainment,0.75,82.0,56.0,7.2,386.0,Konami,E,2.0
2735,Tony Hawk's Underground 2,XB,Sports,Activision,0.75,83.0,55.0,7.8,12.0,Neversoft Entertainment,T,12.0
2736,Madden NFL 06,PSP,Sports,Electronic Arts,0.75,75.0,23.0,7.9,16.0,EA Tiburon,E,11.0
2738,Raving Rabbids: Travel in Time,Wii,Adventure,Ubisoft,0.75,62.0,24.0,7.6,14.0,Ubisoft,E10+,6.0
2739,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Fighting,Capcom,0.75,81.0,22.0,7.9,27.0,Capcom,T,15.0
2740,MVP 06 NCAA Baseball,PS2,Sports,Electronic Arts,0.75,76.0,27.0,9,18.0,EA Canada,E,10.0
2741,Turok,X360,Action,Touchstone,0.75,69.0,63.0,7.1,120.0,Propaganda Games,M,8.0
2743,Coded Arms,PSP,Shooter,Konami Digital Entertainment,0.75,59.0,42.0,6.5,61.0,Konami,T,11.0
2744,Final Fantasy Tactics A2: Grimoire of the Rift,DS,Role-Playing,Square Enix,0.75,80.0,47.0,6.9,106.0,Square Enix,E10+,9.0
2747,The Lord of the Rings: Conquest,PS3,Action,Electronic Arts,0.74,54.0,45.0,7.1,57.0,Pandemic Studios,T,7.0
2748,Band Hero,PS3,Misc,Activision,0.74,76.0,45.0,5.7,9.0,Neversoft Entertainment,E10+,7.0
2749,Burnout,PS2,Racing,Acclaim Entertainment,0.74,79.0,25.0,7.7,33.0,Criterion Games,E,15.0
2750,Spectrobes,DS,Role-Playing,Disney Interactive Studios,0.74,63.0,37.0,7.9,31.0,Jupiter Corporation,E,9.0
2753,The Godfather II,PS3,Action,Electronic Arts,0.74,67.0,53.0,7.2,50.0,EA Redwood Shores,M,7.0
2754,Mortal Kombat: Unchained,PSP,Fighting,Midway Games,0.74,70.0,19.0,8.8,31.0,JGI Entertainment,M,10.0
2755,Need for Speed: Shift,PSP,Racing,Electronic Arts,0.74,69.0,11.0,6.5,31.0,EA Bright Light,E,7.0
2756,Dark Souls II,X360,Role-Playing,Namco Bandai Games,0.74,91.0,30.0,7.9,915.0,From Software,T,2.0
2758,Assassin's Creed: Revelations,PC,Action,Ubisoft,0.74,80.0,20.0,7.4,771.0,Ubisoft Montreal,M,5.0
2760,[Prototype 2],PS3,Action,Activision,0.74,79.0,39.0,6.8,179.0,Radical Entertainment,M,4.0
2761,Midnight Club 3: DUB Edition,XB,Racing,Take-Two Interactive,0.74,84.0,53.0,7.4,40.0,Rockstar San Diego,E10+,11.0
2762,Resident Evil: Revelations,PS3,Action,Capcom,0.74,74.0,30.0,7.2,204.0,Capcom,M,3.0
2763,Tom Clancy's Rainbow Six: Vegas,PSP,Shooter,Ubisoft,0.74,60.0,20.0,7.1,31.0,Ubisoft Montreal,T,9.0
2767,Red Faction: Guerrilla,PS3,Shooter,THQ,0.74,85.0,56.0,8.1,136.0,Volition Inc.,M,7.0
2770,Ace Combat: Assault Horizon,PS3,Action,Namco Bandai Games,0.74,77.0,28.0,6.7,82.0,Project Aces,T,5.0
2772,Unreal Championship,XB,Shooter,Atari,0.74,83.0,29.0,8.2,24.0,Digital Extremes,M,14.0
2775,Crysis 2,PC,Action,Electronic Arts,0.74,86.0,42.0,6.8,1594.0,Crytek,M,5.0
2776,Tales of Vesperia,X360,Role-Playing,Atari,0.74,79.0,67.0,8.2,264.0,Bandai Namco Games,T,8.0
2777,MLB 13: The Show,PS3,Sports,Sony Computer Entertainment,0.74,87.0,36.0,7.8,114.0,SCEA San Diego Studios,E,3.0
2778,LEGO Marvel Super Heroes,WiiU,Action,Warner Bros. Interactive Entertainment,0.74,82.0,8.0,8,71.0,TT Games,E10+,3.0
2779,Namco Museum Remix,Wii,Misc,Atari,0.74,49.0,18.0,6.3,4.0,TOSE,E,9.0
2781,Sword of Mana,GBA,Role-Playing,Nintendo,0.74,72.0,31.0,8.3,25.0,Brownie Brown,E,13.0
2783,Marvel: Ultimate Alliance 2,PS3,Role-Playing,Activision,0.73,74.0,48.0,7.3,51.0,Vicarious Visions,T,7.0
2784,Dragon Age: Inquisition,PC,Role-Playing,Electronic Arts,0.73,85.0,45.0,5.9,3926.0,BioWare,M,2.0
2785,Resonance of Fate,PS3,Role-Playing,Sega,0.73,72.0,42.0,8,136.0,Tri-Ace,T,6.0
2787,Pirates of the Caribbean: At World's End,PS3,Action,Disney Interactive Studios,0.73,55.0,24.0,6.9,19.0,Eurocom Entertainment Software,T,9.0
2792,Tiger Woods PGA Tour 08,PS3,Sports,Electronic Arts,0.73,79.0,30.0,6.6,7.0,EA Salt Lake,E,9.0
2793,Classic NES Series: Donkey Kong,GBA,Platform,Nintendo,0.73,55.0,15.0,4.8,4.0,Nintendo,E,12.0
2794,Harvest Moon: Animal Parade,Wii,Simulation,Rising Star Games,0.73,76.0,10.0,8.9,20.0,Natsume,E,8.0
2798,WWE SmackDown vs. Raw 2010,Wii,Fighting,THQ,0.73,78.0,11.0,7.7,9.0,Yuke's,T,7.0
2799,Style Savvy: Trendsetters,3DS,Simulation,Nintendo,0.73,76.0,5.0,8,15.0,syn Sophia,E,4.0
2801,Final Fantasy XIII-2,X360,Role-Playing,Square Enix,0.73,79.0,50.0,6.3,268.0,Square Enix,T,5.0
2803,Oddworld: Munch's Oddysee,XB,Platform,Atari,0.73,80.0,30.0,8.7,32.0,Oddworld Inhabitants,T,15.0
2804,Persona 4: Arena,PS3,Fighting,Atlus,0.73,86.0,47.0,7.7,180.0,Arc System Works,T,4.0
2806,Brink,PS3,Shooter,Bethesda Softworks,0.73,72.0,39.0,5.8,168.0,Splash Damage,T,5.0
2807,NHL 11,X360,Sports,Electronic Arts,0.73,88.0,49.0,7.7,71.0,Electronic Arts,E10+,6.0
2808,NCAA Football 07,X360,Sports,Electronic Arts,0.73,79.0,43.0,6.9,20.0,EA Sports,E,10.0
2810,Full Spectrum Warrior,XB,Strategy,THQ,0.73,84.0,67.0,8.7,27.0,Pandemic Studios,M,12.0
2811,LEGO Marvel's Avengers,PS4,Action,Warner Bros. Interactive Entertainment,0.73,71.0,70.0,7,87.0,TT Games,E10+,0.0
2812,Katamari Damacy,PS2,Puzzle,Namco Bandai Games,0.73,86.0,55.0,9,86.0,Namco,E,12.0
2813,Just Dance 2015,WiiU,Misc,Ubisoft,0.73,75.0,6.0,6.6,26.0,Ubisoft,E10+,2.0
2815,LEGO Dimensions,PS4,Action,Warner Bros. Interactive Entertainment,0.73,80.0,53.0,7.1,65.0,Traveller's Tales,E10+,1.0
2816,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,Fighting,Namco Bandai Games,0.73,74.0,23.0,7.1,83.0,"CyberConnect2, Racjin",T,4.0
2817,Shaun Palmer's Pro Snowboarder,PS2,Sports,Codemasters,0.73,64.0,17.0,8.7,13.0,Dearsoft,E,15.0
2818,James Bond 007: Agent Under Fire,GC,Shooter,Electronic Arts,0.72,74.0,16.0,6.8,25.0,Electronic Arts,T,14.0
2819,Harvest Moon DS: Island of Happiness,DS,Simulation,Rising Star Games,0.72,65.0,15.0,7,22.0,TOSE,E,9.0
2820,Star Wars Episode III: Revenge of the Sith,GBA,Action,Ubisoft,0.72,73.0,13.0,7.5,12.0,Ubisoft,E10+,11.0
2821,Ultimate Spider-Man,PS2,Action,Activision,0.72,74.0,52.0,7.9,54.0,Treyarch,T,11.0
2822,Monopoly Streets,Wii,Misc,Electronic Arts,0.72,65.0,9.0,5.2,5.0,Electronic Arts,E,6.0
2829,Total War: Rome II,PC,Strategy,Sega,0.72,76.0,71.0,4.2,3742.0,Creative Assembly,T,3.0
2830,NBA Live 08,PS2,Sports,Electronic Arts,0.72,68.0,10.0,6.6,9.0,EA Canada,E,9.0
2831,Star Ocean: The Last Hope International,PS3,Role-Playing,Square Enix,0.72,74.0,45.0,6.7,155.0,"Square Enix, Tri-Ace",T,6.0
2832,Dead to Rights,XB,Shooter,Electronic Arts,0.72,73.0,39.0,8.9,16.0,Namco,M,14.0
2833,Indiana Jones and the Staff of Kings,Wii,Action,Activision,0.72,55.0,32.0,7,28.0,Artificial Mind and Movement,T,7.0
2834,Tiger Woods PGA Tour 07,PS2,Sports,Electronic Arts,0.72,79.0,33.0,6,8.0,EA Redwood Shores,E,10.0
2837,Major League Baseball 2K7,X360,Sports,Spike,0.72,79.0,31.0,7.1,34.0,Kush Games,E,9.0
2839,Persona Q: Shadow of the Labyrinth,3DS,Role-Playing,Nippon Ichi Software,0.72,83.0,56.0,8.1,169.0,Atlus,M,2.0
2840,MLB 14: The Show,PS4,Sports,Sony Computer Entertainment America,0.72,83.0,17.0,7.7,205.0,SCEA San Diego Studios,E,2.0
2841,X-Men: Mutant Academy 2,PS,Fighting,Activision,0.72,72.0,12.0,8.4,18.0,Paradox Development,T,15.0
2842,Kirby: Canvas Curse,DS,Platform,Nintendo,0.72,86.0,48.0,8.2,87.0,HAL Labs,E,11.0
2845,Madden NFL 10,Wii,Sports,Electronic Arts,0.72,77.0,23.0,7.2,24.0,EA Tiburon,E,7.0
2846,MLB 09: The Show,PS3,Sports,Sony Computer Entertainment,0.72,90.0,27.0,8.1,61.0,SCEA San Diego Studios,E,7.0
2847,Borderlands: The Pre-Sequel,X360,Shooter,Take-Two Interactive,0.72,74.0,16.0,6.4,161.0,2K Australia,M,2.0
2850,Super Monkey Ball Jr.,GBA,Puzzle,Atari,0.72,82.0,20.0,8.6,11.0,Realism Ltd,E,14.0
2851,The Witcher 3: Wild Hunt,PC,Role-Playing,Namco Bandai Games,0.72,93.0,32.0,9.3,10665.0,CD Projekt Red Studio,M,1.0
2852,F1 2011,X360,Racing,Codemasters,0.72,84.0,61.0,7.1,54.0,Codemasters,E,5.0
2853,Mobile Suit Gundam: Encounters in Space,PS2,Simulation,Namco Bandai Games,0.72,66.0,10.0,8.5,37.0,Bandai,T,13.0
2854,MLB 10: The Show,PS3,Sports,Sony Computer Entertainment,0.72,91.0,33.0,8.3,107.0,SCEA,E,6.0
2855,MX vs. ATV Reflex,X360,Racing,THQ,0.72,75.0,47.0,6.6,30.0,Rainbow Studios,E,7.0
2856,Blur,PS3,Racing,Activision,0.72,81.0,58.0,8.2,86.0,Bizarre Creations,E10+,6.0
2859,Battlefield: Bad Company 2,PC,Shooter,Electronic Arts,0.72,87.0,46.0,8.3,1467.0,EA DICE,M,6.0
2860,DiRT 3,X360,Racing,Codemasters,0.72,87.0,81.0,7.1,166.0,Codemasters,T,5.0
2861,The Lord of the Rings: The Two Towers,XB,Action,Electronic Arts,0.71,79.0,17.0,8.1,18.0,Stormfront Studios,T,14.0
2862,Madden NFL 2003,XB,Sports,Electronic Arts,0.71,92.0,16.0,8.3,16.0,EA Tiburon,E,14.0
2863,Skate,X360,Sports,Electronic Arts,0.71,86.0,59.0,8.4,137.0,EA Black Box,T,9.0
2865,XCOM: Enemy Unknown,PC,Strategy,Take-Two Interactive,0.71,89.0,57.0,8.2,2235.0,Firaxis Games,M,4.0
2866,Ben 10: Protector of Earth,PSP,Action,D3Publisher,0.71,60.0,4.0,7.2,23.0,High Voltage Software,E10+,9.0
2867,Virtua Fighter 4: Evolution,PS2,Fighting,Sega,0.71,93.0,30.0,9,48.0,Sega,T,13.0
2868,Crysis,PC,Shooter,Electronic Arts,0.71,91.0,56.0,8,1970.0,Crytek,M,9.0
2869,Resident Evil: Survivor,PS,Action,Eidos Interactive,0.71,39.0,10.0,7,47.0,Capcom,M,16.0
2870,The Sims 2: Castaway,DS,Simulation,Electronic Arts,0.71,66.0,8.0,4,5.0,Full Fat,E,9.0
2872,Godzilla: Destroy All Monsters Melee,GC,Fighting,Atari,0.71,73.0,30.0,7.8,23.0,"Pipeworks Software, Inc.",T,14.0
2875,Silent Hill 3,PS2,Action,Konami Digital Entertainment,0.71,85.0,41.0,8.8,315.0,KCET,M,13.0
2877,Spyro: Enter the Dragonfly,GC,Platform,Universal Interactive,0.71,48.0,13.0,5.1,24.0,Equinoxe,E,14.0
2879,Power Rangers: Dino Thunder,PS2,Action,THQ,0.71,49.0,6.0,6.2,5.0,Pacific Coast Power & Light,E,12.0
2880,Madden NFL 08,PSP,Sports,Electronic Arts,0.71,75.0,10.0,6.8,8.0,EA Tiburon,E,9.0
2885,Madden NFL 09,PSP,Sports,Electronic Arts,0.71,68.0,8.0,6.5,4.0,EA Tiburon,E,8.0
2887,NBA Live 09,X360,Sports,Electronic Arts,0.71,77.0,32.0,7.4,14.0,EA Canada,E,8.0
2889,Dragon Ball: Xenoverse 2,PS4,Action,Namco Bandai Games,0.71,73.0,54.0,7.8,117.0,Dimps Corporation,T,0.0
2890,Dynasty Warriors 6,PS3,Action,Tecmo Koei,0.71,59.0,31.0,7.3,49.0,"Koei, Omega Force",T,9.0
2893,NCAA Football 09,X360,Sports,Electronic Arts,0.71,83.0,24.0,7.7,26.0,EA Tiburon,E,8.0
2894,Doom 3: Resurrection of Evil,XB,Shooter,Activision,0.71,77.0,41.0,7.9,16.0,"id Software, Nerve Software",M,11.0
2895,SSX,X360,Sports,Electronic Arts,0.7,82.0,65.0,6.4,186.0,EA Canada,E,4.0
2896,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,Role-Playing,Square Enix,0.7,65.0,43.0,5.9,21.0,"Eighting, Genius Sonority Inc.",T,9.0
2897,Two Worlds,X360,Role-Playing,SouthPeak Games,0.7,50.0,44.0,5.5,182.0,Reality Pump,M,9.0
2898,Tony Hawk's Underground,GC,Sports,Activision,0.7,89.0,19.0,8.5,24.0,Neversoft Entertainment,T,13.0
2899,Spider-Man 2,PSP,Action,Activision,0.7,67.0,43.0,6.9,8.0,Vicarious Visions,T,11.0
2901,NCAA Football 08,X360,Sports,Electronic Arts,0.7,81.0,30.0,7.8,44.0,EA Sports,E,9.0
2903,Skylanders: Trap Team,WiiU,Action,Activision,0.7,86.0,4.0,7.1,18.0,Toys for Bob,E10+,2.0
2904,Star Wars: Obi-Wan,XB,Action,Activision,0.7,58.0,28.0,5.9,14.0,LucasArts,T,15.0
2905,Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,0.7,78.0,51.0,8.4,79.0,Capcom,T,7.0
2906,Kill.Switch,PS2,Shooter,Sony Computer Entertainment,0.7,73.0,33.0,8.3,19.0,Namco,T,13.0
2907,Catherine,PS3,Adventure,Deep Silver,0.7,79.0,61.0,8.1,372.0,Atlus,M,5.0
2910,SplashDown,PS2,Racing,Atari,0.7,84.0,22.0,8.2,11.0,Rainbow Studios,E,15.0
2912,Jade Empire,XB,Role-Playing,Microsoft Game Studios,0.7,89.0,84.0,8.6,113.0,BioWare,M,11.0
2913,Infinite Undiscovery,X360,Role-Playing,Square Enix,0.7,68.0,60.0,7,158.0,Tri-Ace,T,8.0
2917,Lego Star Wars: The Force Awakens,PS4,Action,Warner Bros. Interactive Entertainment,0.7,78.0,61.0,7.5,91.0,TT Games,E10+,0.0
2918,NHL 12,X360,Sports,Electronic Arts,0.7,86.0,56.0,7,72.0,Electronic Arts,E10+,5.0
2919,Advance Wars,GBA,Strategy,Nintendo,0.7,92.0,28.0,9,95.0,Intelligent Systems,E,15.0
2920,NASCAR 2001,PS2,Racing,Electronic Arts,0.7,66.0,16.0,6.6,9.0,EA Sports,E,16.0
2923,Mafia,PS2,Action,Illusion Softworks,0.7,65.0,30.0,7.6,62.0,Illusion Softworks,M,12.0
2925,Ape Escape: On the Loose,PSP,Platform,Sony Computer Entertainment,0.7,66.0,35.0,6.4,16.0,"SCEA, Sims",E,11.0
2926,Mobile Suit Gundam: Journey to Jaburo,PS2,Simulation,Namco Bandai Games,0.7,58.0,16.0,8.1,49.0,Bandai,T,16.0
2927,MLB 08: The Show,PS3,Sports,Sony Computer Entertainment,0.7,85.0,33.0,8.7,76.0,SCEA San Diego Studios,E,8.0
2928,TimeSplitters 2,PS2,Shooter,Eidos Interactive,0.7,90.0,33.0,8.8,127.0,Free Radical Design,T,14.0
2929,Omerta: City of Gangsters,X360,Simulation,Konami Digital Entertainment,0.7,43.0,18.0,3.3,25.0,Kalypso,T,5.0
2930,Driver: San Francisco,X360,Racing,Ubisoft,0.7,80.0,63.0,7.6,130.0,Ubisoft Reflections,T,5.0
2931,Classic NES Series: Zelda II: The Adventure of Link,GBA,Adventure,Nintendo,0.7,73.0,8.0,7.5,39.0,Nintendo,E,12.0
2934,James Bond 007: Blood Stone,PS3,Shooter,Activision,0.7,65.0,49.0,7.4,45.0,Bizarre Creations,T,6.0
2938,Metal Gear Solid: Portable Ops Plus,PSP,Action,Konami Digital Entertainment,0.69,65.0,19.0,7.5,27.0,Kojima Productions,T,9.0
2939,LEGO Rock Band,Wii,Misc,Warner Bros. Interactive Entertainment,0.69,70.0,15.0,6.8,6.0,TT Fusion,E10+,7.0
2941,Halo 2 Multiplayer Map Pack,XB,Shooter,Microsoft Game Studios,0.69,89.0,37.0,7.4,34.0,Bungie Software,M,11.0
2942,Mortal Kombat: Shaolin Monks,PS2,Action,Midway Games,0.69,77.0,41.0,8.6,74.0,Midway Studios - Los Angeles,M,11.0
2947,MotionSports,X360,Sports,Ubisoft,0.69,40.0,30.0,4.4,9.0,Ubisoft Milan,T,6.0
2948,MX vs. ATV Unleashed: On the Edge,PSP,Racing,THQ,0.69,68.0,22.0,8.1,7.0,Rainbow Studios,E,10.0
2949,Mario Pinball Land,GBA,Misc,Nintendo,0.69,62.0,35.0,4.9,11.0,Fuse Games Limited,E,12.0
2952,Dragon Ball Z: Budokai,GC,Fighting,Atari,0.69,65.0,16.0,6.3,15.0,Pyramid,T,13.0
